salary,tenure,credit_score,age,loan_amount,interest_rate,checking_savings,existing_debt,DTI,Approvals
28114.05,2,771,33,439194.73,3.2,4343.49,23322.55,0.83,Denied
55181.63,3,633,68,420620.6,3.2,8017.48,4024.73,0.07,Approved
52538.62,7,720,26,256042.6,2.6,5622.01,8226.77,0.16,Approved
27028.65,30,813,69,203804.19,3.0,2334.56,74693.31,2.76,Denied
59648.8,17,677,44,336200.85,3.1,8669.06,51496.28,0.86,Denied
27032.77,16,574,59,298344.67,3.8,6660.31,51101.63,1.89,Denied
51776.21,27,712,58,486366.77,2.8,-126.46,70433.88,1.36,Denied
44340.2,25,616,75,297197.48,3.0,5056.96,43226.11,0.97,Denied
29827.5,13,630,82,206762.59,3.7,2107.41,54484.04,1.83,Denied
28205.79,24,667,81,9409.39,3.8,3406.11,6345.86,0.22,Approved
28616.59,18,757,37,107467.33,2.8,-336.71,26057.81,0.91,Denied
33230.9,8,554,43,162680.37,2.9,7963.64,16168.49,0.49,Denied
27455.8,5,422,58,407784.51,4.0,6230.94,67292.5,2.45,Denied
57396.55,1,401,51,384866.28,2.7,9566.27,31890.99,0.56,Denied
37743.61,16,366,31,176910.42,3.1,2111.76,38345.47,1.02,Denied
57931.55,7,519,20,39151.7,3.5,2610.27,8742.8,0.15,Approved
36506.58,19,705,19,211217.14,3.6,9648.68,40276.69,1.1,Denied
56993.46,22,835,41,258845.01,3.8,7184.75,11978.22,0.21,Approved
32326.7,7,753,48,51195.94,2.7,337.59,20674.49,0.64,Denied
38475.61,19,384,61,261817.86,3.9,5169.7,31007.48,0.81,Denied
44310.68,20,849,75,271735.35,2.6,8799.13,48453.15,1.09,Denied
51298.03,8,682,28,458733.55,2.9,7704.51,60182.91,1.17,Denied
50603.72,4,595,53,305323.8,3.1,5345.95,56700.49,1.12,Denied
59786.29,30,845,73,144077.05,2.8,5319.63,53509.31,0.9,Denied
47051.51,2,823,59,234002.69,3.5,5983.51,34273.85,0.73,Denied
51186.52,13,839,62,104991.75,3.6,8215.87,22195.51,0.43,Denied
38700.08,23,488,24,281436.65,3.2,8890.12,18364.4,0.47,Denied
52075.1,11,688,30,159870.43,3.7,9269.0,1564.6,0.03,Approved
29592.29,12,471,48,4388.28,3.8,1071.79,13146.36,0.44,Denied
47957.82,13,423,48,490644.92,3.0,8143.67,52837.21,1.1,Denied
58437.72,10,639,36,121072.25,2.9,4229.89,48662.04,0.83,Denied
31836.24,3,521,64,95229.03,3.9,8882.66,25784.14,0.81,Denied
31061.32,2,808,32,34053.94,2.7,2513.13,12549.54,0.4,Denied
39164.11,7,424,63,445512.48,2.9,900.17,46104.8,1.18,Denied
35069.91,20,488,63,27418.23,2.9,7144.79,37633.11,1.07,Denied
41035.97,24,587,77,363095.57,3.4,8084.32,38633.68,0.94,Denied
58049.76,18,842,50,94492.93,3.4,4307.05,57165.65,0.98,Denied
30120.68,23,628,82,494300.54,3.2,4530.84,5190.45,0.17,Approved
48118.34,30,804,66,446778.69,4.0,8692.67,20697.88,0.43,Denied
44251.27,15,791,24,316625.64,3.2,5400.09,34778.39,0.79,Denied
49588.71,5,598,29,22002.09,3.7,6707.4,3224.14,0.07,Approved
34845.34,25,768,79,99271.59,2.8,8728.73,35399.85,1.02,Denied
59468.31,14,532,21,259147.3,3.2,-744.13,74376.13,1.25,Denied
44090.31,13,788,77,415161.52,3.0,6681.12,16857.07,0.38,Denied
57129.22,19,491,21,295296.5,3.1,-427.1,18179.45,0.32,Approved
51145.42,17,563,24,113292.45,2.6,2523.62,34435.27,0.67,Denied
59097.5,19,470,46,471462.07,4.0,5999.15,47073.16,0.8,Denied
53651.99,15,438,81,184133.48,3.0,5220.24,15791.46,0.29,Approved
42207.54,5,358,67,485525.45,2.8,6361.58,32135.67,0.76,Denied
49683.59,15,805,74,37707.49,3.8,-933.36,5780.01,0.12,Approved
40057.87,3,819,47,197776.32,2.6,6732.61,53117.99,1.33,Denied
27510.56,11,540,36,367775.91,2.6,5008.46,49551.38,1.8,Denied
43730.56,23,843,30,464506.17,2.5,210.55,14287.62,0.33,Approved
47052.44,11,793,81,112960.62,2.9,6681.63,43177.16,0.92,Denied
44409.2,26,696,84,162218.9,3.6,-666.46,21312.08,0.48,Denied
44150.24,20,835,32,186079.15,2.7,6148.76,8317.5,0.19,Approved
49864.63,23,618,33,18373.22,2.5,8793.95,51390.79,1.03,Denied
56217.41,20,357,67,203855.07,3.0,4510.39,57788.03,1.03,Denied
41907.22,21,696,55,409588.88,2.7,-852.27,53775.92,1.28,Denied
34321.58,14,400,62,168972.66,2.6,7495.47,35291.38,1.03,Denied
53795.74,18,485,58,201936.21,3.1,-77.11,13406.37,0.25,Approved
54619.91,10,632,35,39298.04,2.8,1570.66,13664.35,0.25,Approved
48126.12,14,689,19,77497.08,3.6,4893.86,41653.53,0.87,Denied
58897.96,2,542,42,421934.67,4.0,4920.06,35532.19,0.6,Denied
30242.79,17,771,58,390844.28,3.7,-564.97,15426.85,0.51,Denied
47859.03,6,467,29,403857.59,3.4,6399.62,62535.71,1.31,Denied
35546.56,3,393,21,327491.61,3.9,8790.5,55553.06,1.56,Denied
43800.45,3,388,58,346254.27,3.4,8783.88,51502.03,1.18,Denied
55621.26,23,489,73,40578.46,3.7,6224.07,65170.19,1.17,Denied
34572.83,25,375,32,317466.82,2.7,1802.55,1495.65,0.04,Approved
59920.87,16,435,69,380679.48,3.3,4940.33,28599.74,0.48,Denied
36596.72,9,393,55,395072.92,3.1,3544.3,22219.17,0.61,Denied
39897.85,10,540,74,490285.94,3.7,5990.42,9217.23,0.23,Approved
35005.13,11,623,81,327735.84,4.0,1741.39,73372.23,2.1,Denied
37523.68,5,462,78,84036.62,3.6,2868.3,68401.21,1.82,Denied
29975.1,12,818,32,363034.99,3.5,1257.75,33835.28,1.13,Denied
30182.91,24,457,23,111332.53,3.2,7658.11,8540.21,0.28,Approved
49409.75,23,457,49,357130.9,3.5,8508.2,69696.68,1.41,Denied
31587.96,13,480,54,470311.98,2.6,4096.39,57729.87,1.83,Denied
27244.0,23,435,71,94471.46,2.6,-768.17,29211.76,1.07,Denied
59850.47,5,847,77,465831.05,3.9,1871.68,30520.29,0.51,Denied
35380.86,12,694,19,341744.41,3.3,8168.6,53451.83,1.51,Denied
57743.6,18,476,56,80478.03,2.7,664.78,18225.36,0.32,Approved
56094.49,21,594,52,24043.74,3.5,262.5,74788.41,1.33,Denied
51566.72,1,612,46,224548.9,3.4,1091.39,33791.42,0.66,Denied
36477.97,26,572,56,355213.7,2.6,7030.69,30053.39,0.82,Denied
57003.63,29,579,51,283949.11,3.2,1193.24,18308.8,0.32,Approved
38249.63,16,808,41,213851.96,2.6,1848.83,64640.96,1.69,Denied
45206.85,24,699,34,431946.05,2.7,-75.56,17506.33,0.39,Denied
56069.35,6,800,65,22177.43,2.7,1812.97,40797.07,0.73,Denied
38439.81,12,661,71,397818.84,3.0,7473.76,73436.91,1.91,Denied
42988.79,24,387,49,495060.33,3.3,3136.5,248.56,0.01,Approved
47321.85,13,503,82,54305.49,2.8,5835.15,36551.25,0.77,Denied
35204.27,20,774,59,205524.82,3.1,3778.3,64723.23,1.84,Denied
50094.41,27,456,26,199072.49,3.9,4326.2,8253.61,0.16,Approved
30078.2,19,429,72,266259.53,3.1,4757.65,32861.57,1.09,Denied
34983.6,12,828,35,332738.82,3.7,2522.94,22460.24,0.64,Denied
39487.54,3,451,72,425384.01,3.7,2897.24,70183.11,1.78,Denied
32837.9,9,778,43,18528.52,3.4,6236.64,1736.48,0.05,Approved
50220.69,12,720,58,326629.45,2.7,8315.96,36266.04,0.72,Denied
56447.74,9,474,23,9120.56,2.8,8124.9,44029.7,0.78,Denied
29496.06,7,380,24,430699.45,3.5,9551.77,53666.73,1.82,Denied
34771.34,27,791,50,396701.14,4.0,6472.23,27896.34,0.8,Denied
51415.13,27,733,69,331139.86,2.8,9121.47,9967.41,0.19,Approved
47392.28,23,413,79,371796.87,3.1,3713.48,28297.74,0.6,Denied
40774.58,30,684,37,377748.34,3.6,8091.12,45571.83,1.12,Denied
38195.07,1,662,40,324227.89,3.4,8140.2,19747.1,0.52,Denied
30601.46,9,465,47,402534.02,3.5,7215.63,50859.07,1.66,Denied
52988.13,7,680,38,457041.95,3.2,-809.34,27132.95,0.51,Denied
39696.51,11,807,20,226955.8,3.1,9099.35,52455.11,1.32,Denied
46598.23,1,381,47,98959.25,3.4,383.18,37237.91,0.8,Denied
39518.42,23,462,51,13370.88,2.8,3200.86,60989.98,1.54,Denied
31270.33,30,415,62,167668.1,2.7,540.14,19962.15,0.64,Denied
34828.83,24,738,81,110562.54,3.1,2027.82,17765.21,0.51,Denied
39499.37,27,745,40,388079.62,3.3,5116.24,21487.01,0.54,Denied
30843.5,3,719,69,38476.98,3.0,6385.87,61327.67,1.99,Denied
41512.36,25,362,63,254044.91,2.7,986.76,532.96,0.01,Approved
33039.57,10,798,32,428652.09,2.5,9156.05,16721.32,0.51,Denied
57763.2,27,486,83,317789.49,4.0,8189.54,39305.26,0.68,Denied
47367.69,5,768,71,289681.15,3.3,855.66,54839.83,1.16,Denied
33728.04,13,384,69,350356.62,4.0,1104.95,26382.46,0.78,Denied
29516.63,4,752,34,315209.69,3.5,2368.1,70214.21,2.38,Denied
50901.05,28,805,49,25165.28,3.3,1108.68,1779.69,0.03,Approved
33802.54,22,774,38,285936.79,3.0,8964.36,32364.19,0.96,Denied
37292.21,6,548,76,457468.13,3.7,1335.16,24073.94,0.65,Denied
37493.2,4,585,42,474747.39,2.8,937.48,46864.65,1.25,Denied
44723.97,3,501,23,198826.66,3.9,2859.14,46190.63,1.03,Denied
31374.44,23,724,73,365438.24,2.7,4530.69,5444.7,0.17,Approved
35477.38,16,606,62,76748.73,3.1,6980.94,15796.97,0.45,Denied
27398.22,3,495,57,369954.17,3.5,3916.89,56845.69,2.07,Denied
38772.95,5,354,57,447276.31,3.1,8830.15,73670.95,1.9,Denied
54051.98,20,416,74,160374.66,3.4,4862.1,58566.12,1.08,Denied
30487.3,27,747,43,386756.79,3.4,6822.03,59891.45,1.96,Denied
41302.6,26,538,61,452190.19,3.5,6215.13,55935.1,1.35,Denied
56511.03,17,730,85,441982.11,2.9,3407.67,7861.78,0.14,Approved
55493.95,24,640,85,164078.59,2.8,5465.5,6866.97,0.12,Approved
50732.16,26,791,37,146269.81,3.5,8638.96,4395.92,0.09,Approved
39906.73,1,424,67,4982.42,3.0,1751.72,33529.22,0.84,Denied
56832.67,19,692,19,81749.55,3.2,4316.42,1723.03,0.03,Approved
51091.56,16,468,69,233339.91,2.8,4284.86,72647.64,1.42,Denied
27860.58,3,369,34,463931.7,2.6,4242.37,12575.48,0.45,Denied
38342.1,14,699,41,470363.78,3.0,4830.98,8420.09,0.22,Approved
29543.11,5,737,21,350227.04,2.8,2211.2,68792.25,2.33,Denied
31284.67,2,422,34,122047.74,2.7,6899.1,69865.79,2.23,Denied
33361.68,2,780,69,416029.74,3.5,5416.67,60761.87,1.82,Denied
30546.14,16,692,68,457622.63,3.7,5641.45,59838.63,1.96,Denied
58249.98,11,590,49,213449.47,4.0,7863.5,55733.76,0.96,Denied
46057.28,5,803,36,347574.51,3.3,969.41,50746.09,1.1,Denied
34985.07,7,828,55,497590.56,3.6,9175.11,47851.53,1.37,Denied
45741.0,10,756,62,444752.62,2.6,7989.11,46859.63,1.02,Denied
57561.96,22,483,46,408194.1,3.1,6832.61,69458.83,1.21,Denied
32871.63,29,359,82,329861.34,3.5,5216.54,31738.1,0.97,Denied
55572.85,11,466,76,209975.63,3.5,5628.85,38290.65,0.69,Denied
40173.57,1,547,61,203719.49,2.8,5927.32,70390.64,1.75,Denied
38769.52,5,535,57,258224.38,4.0,4263.48,6014.77,0.16,Approved
55037.19,23,395,47,488738.77,2.5,2122.17,25413.74,0.46,Denied
43262.05,19,472,49,394047.64,2.9,5603.31,68407.34,1.58,Denied
35852.97,8,596,40,197476.17,3.9,-196.79,49308.49,1.38,Denied
47261.88,23,639,80,344038.65,3.3,4194.03,66424.59,1.41,Denied
38495.45,4,557,47,175340.73,2.7,608.81,54237.19,1.41,Denied
39825.33,24,565,81,207277.12,3.8,8047.23,23231.83,0.58,Denied
46036.0,16,631,22,431516.83,3.5,5134.13,12392.86,0.27,Approved
41721.23,1,387,59,116203.65,2.6,9830.3,40444.28,0.97,Denied
53872.61,20,843,36,359924.19,3.3,9019.73,70750.69,1.31,Denied
32306.82,12,550,74,263428.38,3.6,3868.18,60707.17,1.88,Denied
44427.8,27,716,71,334556.25,2.8,1308.27,68924.23,1.55,Denied
34839.3,10,761,35,250210.87,3.4,2271.53,44577.0,1.28,Denied
42062.94,11,425,29,14943.13,2.6,1433.81,31430.38,0.75,Denied
43939.39,13,494,50,287066.51,3.0,172.22,62129.81,1.41,Denied
50397.34,14,681,76,362700.89,3.1,2478.54,20250.72,0.4,Denied
27136.27,15,618,36,131810.7,3.1,479.44,35265.0,1.3,Denied
31883.78,27,459,32,212644.87,3.7,6355.37,22439.74,0.7,Denied
47108.46,4,769,26,161627.77,2.9,2131.6,31177.61,0.66,Denied
29665.51,14,781,71,40834.04,3.2,7301.61,18359.04,0.62,Denied
55527.48,3,445,18,371066.34,2.8,2755.33,11677.63,0.21,Approved
27845.1,21,422,63,348001.6,2.6,1645.53,14315.12,0.51,Denied
29984.2,9,615,71,148588.65,3.7,6116.06,42747.16,1.43,Denied
46231.82,8,748,82,16765.6,3.9,3105.2,39248.32,0.85,Denied
35759.08,5,594,59,8443.64,3.2,4618.06,48359.67,1.35,Denied
35072.48,1,475,70,387459.66,3.6,-729.49,20408.1,0.58,Denied
37487.89,19,464,74,467878.74,3.3,677.9,61563.0,1.64,Denied
33410.85,19,459,42,194775.97,2.8,674.88,41614.72,1.25,Denied
52126.21,6,352,67,91107.79,3.0,5991.72,27533.37,0.53,Denied
40049.06,28,593,67,10521.86,3.1,8722.49,11366.65,0.28,Approved
36018.26,21,533,45,247942.6,3.0,1127.9,17722.18,0.49,Denied
49204.39,4,836,20,488511.53,3.9,9153.34,4245.78,0.09,Approved
46410.57,28,639,50,470689.54,3.1,5395.3,71802.7,1.55,Denied
59928.4,25,454,32,347909.52,2.9,3890.96,8479.74,0.14,Approved
41403.67,9,724,36,337675.03,2.5,113.32,56260.77,1.36,Denied
35606.43,8,532,74,92261.03,3.7,-920.93,28516.46,0.8,Denied
48209.74,3,415,83,18627.67,2.7,1185.64,38836.64,0.81,Denied
51275.8,8,736,76,139509.99,3.6,6122.14,34597.42,0.67,Denied
48773.28,15,738,64,402416.76,3.5,8999.21,67986.55,1.39,Denied
35596.84,25,802,64,101547.0,3.7,5693.63,69923.07,1.96,Denied
32803.64,19,397,45,229002.53,3.6,3732.19,52690.43,1.61,Denied
40087.4,6,422,45,105706.94,3.8,2427.55,37900.89,0.95,Denied
46142.14,20,553,22,325851.4,2.8,-43.07,37149.76,0.81,Denied
34351.11,12,549,82,185331.45,3.4,7566.82,61604.74,1.79,Denied
35038.17,20,735,70,154699.22,3.4,6587.07,51491.28,1.47,Denied
50848.87,16,728,25,491309.79,3.8,8699.96,70420.94,1.38,Denied
52368.03,7,398,44,418882.6,2.6,1295.19,30787.9,0.59,Denied
49998.04,23,639,27,281.75,3.1,1524.53,32481.15,0.65,Denied
58249.31,3,397,32,437560.25,3.4,7033.57,11058.65,0.19,Approved
37050.84,27,844,31,243368.21,3.6,3861.04,60957.62,1.65,Denied
38272.66,21,719,78,143572.94,3.5,7881.96,50426.15,1.32,Denied
30413.72,3,566,64,59934.43,2.9,3359.61,235.29,0.01,Approved
53879.52,10,495,38,444027.4,3.7,7722.27,46040.66,0.85,Denied
31526.64,27,743,26,85623.61,3.8,693.4,9634.67,0.31,Approved
48295.75,21,805,28,230638.11,3.7,4323.59,16126.35,0.33,Approved
31810.28,24,495,40,450389.62,3.1,3165.96,10555.3,0.33,Approved
33247.35,21,743,65,306129.68,3.9,2190.99,387.64,0.01,Approved
37726.79,18,530,77,20301.3,2.7,3784.29,56258.86,1.49,Denied
46255.83,29,402,70,446074.74,2.8,-356.14,58937.87,1.27,Denied
32597.27,17,511,36,420725.02,3.5,512.87,64761.47,1.99,Denied
36624.18,18,422,49,286003.94,2.7,9008.43,20022.99,0.55,Denied
46036.86,9,773,25,294735.44,3.0,8003.94,5079.4,0.11,Approved
33769.41,21,668,54,74266.36,3.1,4893.53,67949.47,2.01,Denied
45663.1,2,693,19,488700.31,3.9,6147.06,13651.5,0.3,Approved
49112.63,25,629,40,288635.07,3.0,5257.34,29802.65,0.61,Denied
57887.76,17,583,36,275203.01,2.8,7281.3,25078.3,0.43,Denied
36347.18,11,465,48,350953.89,2.9,-868.89,47572.32,1.31,Denied
33978.16,5,416,29,23995.41,3.6,631.51,37524.81,1.1,Denied
52007.81,25,596,72,274815.8,4.0,8693.54,61377.29,1.18,Denied
59858.86,23,516,21,141489.62,3.1,882.63,28719.79,0.48,Denied
56871.88,5,692,79,180247.49,2.8,8955.78,57698.79,1.01,Denied
55381.86,23,440,58,379892.81,3.2,5113.61,44451.53,0.8,Denied
52878.24,29,367,78,247330.14,2.6,2931.25,73552.04,1.39,Denied
59122.13,3,643,56,277709.79,3.8,8935.21,7070.4,0.12,Approved
52141.65,22,573,32,455065.42,2.8,1657.26,30481.74,0.58,Denied
36377.83,7,543,72,173186.41,3.2,9376.62,4228.33,0.12,Approved
26560.98,28,503,71,206636.35,2.9,2825.31,35541.77,1.34,Denied
29520.04,10,432,28,226373.87,3.7,-218.94,41753.36,1.41,Denied
37929.07,18,765,32,84604.64,2.9,-776.09,57067.77,1.5,Denied
58643.16,20,430,68,88348.72,3.0,9097.78,14477.9,0.25,Approved
44890.15,6,834,42,424265.54,2.5,5131.33,33113.11,0.74,Denied
27380.33,10,726,66,113969.65,2.6,4413.82,6392.26,0.23,Approved
58975.68,7,505,68,454503.55,3.1,1856.99,12713.7,0.22,Approved
55871.54,22,725,43,54533.44,3.7,1901.51,39753.84,0.71,Denied
37859.24,6,768,68,197370.04,3.8,309.53,27337.15,0.72,Denied
32470.45,11,574,83,348039.44,2.8,1732.97,34891.81,1.07,Denied
34498.48,8,427,51,387903.59,3.0,8046.92,46379.68,1.34,Denied
27561.53,17,487,42,386027.33,2.9,294.07,14437.75,0.52,Denied
33584.85,11,473,28,437470.99,3.3,2397.68,61506.89,1.83,Denied
48886.02,15,466,71,462422.0,2.7,8088.15,61822.58,1.26,Denied
49380.06,11,531,33,464014.96,2.8,6462.02,2297.83,0.05,Approved
43172.4,4,413,81,5189.93,3.8,2972.67,21603.63,0.5,Denied
51119.05,29,629,46,217625.08,3.3,6333.77,71576.37,1.4,Denied
41446.03,17,633,53,69562.13,3.4,2248.85,68388.9,1.65,Denied
56571.91,19,795,40,260249.77,2.7,5136.74,6044.19,0.11,Approved
31280.19,1,361,72,382885.15,3.7,9757.05,47838.04,1.53,Denied
51326.78,18,826,37,96818.46,3.7,4617.83,54257.11,1.06,Denied
50879.08,16,354,80,14970.8,2.5,8289.3,32558.25,0.64,Denied
30043.62,4,668,65,436247.72,3.2,2262.45,14725.44,0.49,Denied
47597.74,3,523,48,49990.24,3.8,3926.27,63604.93,1.34,Denied
27290.38,25,631,78,444062.78,2.6,6167.0,66464.0,2.44,Denied
32709.57,8,665,45,422359.27,2.8,6523.49,28.19,0.0,Approved
56776.44,16,590,59,326584.35,2.9,6351.94,54768.0,0.96,Denied
47391.62,23,839,70,7409.72,2.6,1718.21,47965.94,1.01,Denied
51859.62,3,507,18,218466.14,2.6,1674.2,58954.17,1.14,Denied
26757.44,13,539,62,245377.54,3.8,2113.99,70384.61,2.63,Denied
32712.98,25,828,79,358946.14,2.9,6908.94,17378.21,0.53,Denied
51579.81,11,572,25,373585.94,3.0,-542.69,60581.06,1.17,Denied
49760.21,3,795,23,82570.79,3.6,7441.37,53239.52,1.07,Denied
29577.25,16,353,36,101349.84,3.0,9347.84,54852.34,1.85,Denied
50673.81,14,398,61,199187.22,3.1,1274.49,42774.84,0.84,Denied
53675.64,14,588,30,119972.7,2.7,7601.66,19486.59,0.36,Approved
26507.86,25,677,70,217678.22,3.5,6214.72,66586.74,2.51,Denied
45989.55,18,821,58,12788.34,4.0,6162.5,28358.59,0.62,Denied
50404.41,8,674,23,346530.03,2.9,3940.27,42759.85,0.85,Denied
37874.95,1,432,64,130550.0,3.1,7948.69,56060.61,1.48,Denied
39132.64,26,555,58,103978.31,3.1,6339.24,35699.51,0.91,Denied
29368.73,28,458,71,77691.98,3.8,786.17,66962.69,2.28,Denied
40159.15,1,519,34,36213.27,3.5,1810.12,15603.1,0.39,Denied
36901.03,22,490,76,211802.31,3.0,6949.39,53433.09,1.45,Denied
26753.18,21,850,41,279356.53,3.6,6334.0,71107.42,2.66,Denied
34283.22,21,820,29,48303.95,2.7,9876.32,68765.81,2.01,Denied
56728.4,17,412,74,450881.11,2.9,6777.06,70592.06,1.24,Denied
37051.72,26,754,40,101095.57,3.2,4814.63,17075.87,0.46,Denied
32457.44,27,730,63,211302.44,3.1,505.54,11420.09,0.35,Approved
45412.89,11,385,73,96308.17,3.3,-282.41,11524.84,0.25,Approved
38596.63,26,748,31,400891.23,3.2,8758.27,5507.1,0.14,Approved
26995.49,1,703,85,446109.42,3.4,3651.79,32751.77,1.21,Denied
52752.49,23,824,41,117953.62,3.4,3455.69,13858.99,0.26,Approved
38699.35,12,608,35,410145.95,3.1,866.08,54066.03,1.4,Denied
46150.57,19,652,18,276341.39,2.8,8573.57,67464.64,1.46,Denied
48013.76,25,657,41,419819.16,2.5,-100.13,71583.27,1.49,Denied
39358.48,13,604,48,141499.52,2.8,2326.5,61088.43,1.55,Denied
37472.55,6,550,23,130226.21,3.9,-943.38,38899.07,1.04,Denied
52452.95,4,441,79,455122.36,4.0,9054.88,71399.83,1.36,Denied
28183.48,18,743,79,340368.04,3.8,9941.55,54630.98,1.94,Denied
49975.79,6,629,74,411420.93,2.9,4752.93,63762.21,1.28,Denied
52784.11,25,659,84,399092.78,2.6,8101.06,48764.01,0.92,Denied
58619.99,5,538,52,483404.78,2.6,4770.22,2270.88,0.04,Approved
39188.44,25,471,55,122883.36,2.9,4285.47,68640.39,1.75,Denied
41504.53,22,807,77,245093.22,3.0,-207.19,52133.74,1.26,Denied
44432.59,5,460,70,131895.31,3.9,2119.37,74015.2,1.67,Denied
57133.05,4,708,40,92560.41,2.7,3756.74,68533.58,1.2,Denied
33536.93,14,781,53,310560.53,3.1,9403.04,71080.85,2.12,Denied
37704.53,27,494,34,255856.62,3.7,5253.83,35091.7,0.93,Denied
27593.97,2,837,59,264342.84,3.1,8394.61,47506.91,1.72,Denied
35758.84,14,728,21,164664.8,3.3,8615.32,55364.92,1.55,Denied
41481.86,10,614,53,297608.62,3.2,9764.81,30700.23,0.74,Denied
50164.72,19,835,75,125077.74,2.9,8648.23,61590.34,1.23,Denied
56948.08,8,819,24,416598.8,3.8,1228.33,19802.69,0.35,Approved
47168.06,4,671,27,373084.53,3.1,3416.63,11002.69,0.23,Approved
28943.18,28,686,31,437415.8,3.9,4401.07,68830.41,2.38,Denied
36581.37,16,470,20,260873.92,3.2,9652.76,50797.74,1.39,Denied
41371.29,10,530,82,436548.01,3.3,2545.39,31035.28,0.75,Denied
59897.46,26,810,20,95997.1,2.9,9506.5,54018.34,0.9,Denied
45552.32,15,818,22,364955.81,3.9,7095.05,27606.58,0.61,Denied
43427.59,23,613,31,245048.6,3.8,4425.12,64517.97,1.49,Denied
59559.85,6,485,21,339792.12,3.6,73.67,34743.15,0.58,Denied
28940.29,19,385,40,410422.02,2.5,8835.94,68674.09,2.37,Denied
57512.28,24,463,19,451212.42,3.8,2278.64,58953.52,1.03,Denied
27916.73,1,849,18,71421.06,2.8,7245.6,20450.89,0.73,Denied
50422.13,3,835,64,218116.21,3.8,6139.48,35588.33,0.71,Denied
32078.3,26,608,58,18035.16,3.9,2321.03,662.46,0.02,Approved
38162.01,1,551,72,33408.23,2.7,-703.2,4771.23,0.13,Approved
41575.21,9,412,76,478420.54,2.9,4452.9,69514.2,1.67,Denied
59322.68,3,626,47,391270.12,3.7,2080.38,51780.18,0.87,Denied
